Model,MSE,RMSE,MAE,r,R2,RRMSE,NSE,WI,Fit Time (s)
GGO-MLP,4.72e-07,2.48e-07,1.92e-05,0.9978,0.9959,0.0346,0.9934,0.9988,0.1655
BER-MLP,5.71e-06,2.88e-05,3.18e-05,0.9972,0.9946,0.0507,0.9916,0.9971,0.2696
GWO-MLP,1.09e-05,5.74e-05,4.44e-05,0.9965,0.9934,0.0668,0.9899,0.9954,0.3738
WWPA-MLP,1.43e-05,4.17e-05,5.6e-05,0.9958,0.9926,0.0741,0.9884,0.9931,0.874
HHO-MLP,1.76e-05,2.6e-05,6.76e-05,0.9951,0.9918,0.0815,0.9869,0.9908,1.3742
PSO-MLP,2.09e-05,1.02e-05,7.92e-05,0.9944,0.991,0.0888,0.9854,0.9885,1.8744
JAYA-MLP,2.36e-05,5.73e-05,9.19e-05,0.9936,0.9892,0.0923,0.9821,0.9834,2.1775
DTO-MLP,2.62e-05,0.000104,0.000105,0.9927,0.9874,0.0957,0.9787,0.9784,2.4805
GA-MLP,2.89e-05,0.000152,0.000117,0.9919,0.9856,0.0991,0.9753,0.9734,2.7836
SFS-MLP,0.000123,0.000644,0.000498,0.9863,0.9833,0.5515,0.9698,0.9587,2.9084
WOA-MLP,0.000217,0.00114,0.000879,0.9806,0.981,1.0039,0.9643,0.9439,3.0331
